nome_candidato,codigo_cargo,nome_cargo,numero_candidato,numero_partido
MARIA ELIANE DO NASCIMENTO CRUZ,6,DEPUTADO FEDERAL,2207,22
CARLOS ALBERTO FELIX CAVALCANTE,6,DEPUTADO FEDERAL,3555,35
EDVAN NOGUEIRA BERNARDINO,6,DEPUTADO FEDERAL,3640,36
FRANCISCO JOSE DE CARVALHO FERREIRA,6,DEPUTADO FEDERAL,2015,20
ROSILANE DE SOUSA SILVA,6,DEPUTADO FEDERAL,5151,51
ADRIANA ALBUQUERQUE DOS SANTOS,6,DEPUTADO FEDERAL,1896,18
BRUNO HOLANDA DOS SANTOS,6,DEPUTADO FEDERAL,1414,14
MARIA DO SOCORRO SANTOS DA SILVA,6,DEPUTADO FEDERAL,2055,20
FRANCISCO ROBERTO DOS SANTOS,6,DEPUTADO FEDERAL,2123,21
RAPHAEL STHEFESON COSTA FONTENELE,6,DEPUTADO FEDERAL,1922,19
FRANCISCA IDALBA TEIXEIRA DE OLIVEIRA,6,DEPUTADO FEDERAL,9087,90
GABRIEL LEANDRO CABRAL DE OLIVEIRA,6,DEPUTADO FEDERAL,9038,90
JOSÉ ALEXANDRE OLIVEIRA SOBREIRA,6,DEPUTADO FEDERAL,7070,70
LURDENIS DE ALENCAR VIEIRA,6,DEPUTADO FEDERAL,7012,70
PAULO ROMERITO DE ARAUJO MONTENEGRO,6,DEPUTADO FEDERAL,4565,45
VICENCIA LEANDRO PINHEIRO,6,DEPUTADO FEDERAL,3333,33
JOSÉ MONTEIRO PRIMO DA PAZ,6,DEPUTADO FEDERAL,7030,70
CICERO JOHNNY ALVES MOTA,6,DEPUTADO FEDERAL,1888,18
MARIA CLEANES DA SILVA,6,DEPUTADO FEDERAL,7088,70
LUIZ CLAUDIO ALVES BRITO,6,DEPUTADO FEDERAL,1556,15
PAULO HENRIQUE DA SILVA LEÃO,6,DEPUTADO FEDERAL,5544,55
ALZERMIRIAN ALVES FREITAS,6,DEPUTADO FEDERAL,5169,51
FRANCISCO GUEDES DA SILVA JÚNIOR,6,DEPUTADO FEDERAL,2040,20
FRANCISCO RODRIGO DE MATOS DE SOUZA,6,DEPUTADO FEDERAL,1016,10
HUGO CEZAR DAMASCENO DE SOUSA,6,DEPUTADO FEDERAL,9014,90
GABRIELLA PAIVA DOS SANTOS,6,DEPUTADO FEDERAL,1044,10
MARIA AURI AMORIM DE PAULA,6,DEPUTADO FEDERAL,7055,70
RONDINELLE PEREIRA DE FREITAS,6,DEPUTADO FEDERAL,1522,15
CARLOS EDUARDO MARTINS TORRES,6,DEPUTADO FEDERAL,7007,70
EDNA FRANCISCA DO NASCIMENTO,6,DEPUTADO FEDERAL,1303,13
FRANCISCA MARIA FREIRE ALBANO,6,DEPUTADO FEDERAL,4511,45
STEPHAN GOMES DE CARVALHO,6,DEPUTADO FEDERAL,1145,11
PAULO SALAZAR PRIMO JUNIOR,6,DEPUTADO FEDERAL,4085,40
FRANCISCO DERIVALDO GONÇALVES LIMA,6,DEPUTADO FEDERAL,2220,22
ANTONIO NIERTON QUEIROZ GUERRA,6,DEPUTADO FEDERAL,5133,51
CARLOS MATOS LIMA,6,DEPUTADO FEDERAL,4410,44
CARLOS ANDRÉ SOARES FERNANDES,6,DEPUTADO FEDERAL,3615,36
EDUARDO DA SILVA DOS SANTOS,6,DEPUTADO FEDERAL,1415,14
MARIA EDIVANIA VIEIRA DA SILVA,6,DEPUTADO FEDERAL,2100,21
JULIO BRIZZI NETO,6,DEPUTADO FEDERAL,1201,12
DOMINGOS GOMES DE AGUIAR NETO,6,DEPUTADO FEDERAL,5555,55
IZAURA TAVARES SOARES,6,DEPUTADO FEDERAL,4420,44
JOÃO ALFREDO TELLES MELO,6,DEPUTADO FEDERAL,5001,50
LUCIANO DE MELO SOUSA,6,DEPUTADO FEDERAL,5512,55
CARLOS KENNEDY ALMEIDA LOPES,6,DEPUTADO FEDERAL,9013,90
CÉLIO STUDART BARBOSA,6,DEPUTADO FEDERAL,5511,55
ANTONIO ILTON DE SOUSA CASTRO,6,DEPUTADO FEDERAL,1447,14
CELSO DOS SANTOS,6,DEPUTADO FEDERAL,2266,22
EMANUELLA DE OLIVEIRA ALVES,6,DEPUTADO FEDERAL,4510,45
FRANCISCO DANIEL TEIXEIRA BALBINO,6,DEPUTADO FEDERAL,4090,40
EDUARDO ANDRÉ MAGALHÃES TELES,6,DEPUTADO FEDERAL,4022,40
JOSE GENIVAL DE SOUSA SILVA,6,DEPUTADO FEDERAL,2044,20
ROBERTA MENEZES SOUSA,6,DEPUTADO FEDERAL,5088,50
ADRIANA ALVES LUCIO,6,DEPUTADO FEDERAL,5199,51
CRISTIANO ALMEIDA NUNES,6,DEPUTADO FEDERAL,5060,50
JOSE NOBRE GUIMARAES,6,DEPUTADO FEDERAL,1322,13
JAZIEL PEREIRA DE SOUSA,6,DEPUTADO FEDERAL,2277,22
RAIMUNDO FLÁVIO FERREIRA FRANÇA,6,DEPUTADO FEDERAL,3636,36
ROZANE DIAS DE SENA,6,DEPUTADO FEDERAL,9026,90
ELIENE COUTO CAMPELO,6,DEPUTADO FEDERAL,1199,11
LUIZ GASTÃO BITTENCOURT DA SILVA,6,DEPUTADO FEDERAL,5533,55
ANTONIA GUEDES CABRAL AGUIAR ROCHA,6,DEPUTADO FEDERAL,1818,18
ANTONIO CARLOS ALENCAR REBOUÇAS,6,DEPUTADO FEDERAL,1477,14
WILLIAMS DA SILVA BORGES,6,DEPUTADO FEDERAL,3556,35
JOÃO VERÍSSIMO DE MORAIS NETO,6,DEPUTADO FEDERAL,7089,70
JOSÉ MARIA DO NASCIMENTO,6,DEPUTADO FEDERAL,7001,70
MARIA GORETE PEREIRA,6,DEPUTADO FEDERAL,2233,22
