nome_municipio,ano,total_furtos
Carnaubal,2014,21
Carnaubal,2015,37
Carnaubal,2016,23
Carnaubal,2017,29
Carnaubal,2018,39
Carnaubal,2019,32
Carnaubal,2020,13
Carnaubal,2021,18
Carnaubal,2022,17
Carnaubal,2023,15
Cascavel,2009,57
Cascavel,2010,84
Cascavel,2011,535
Cascavel,2012,509
Cascavel,2013,575
Cascavel,2014,308
Cascavel,2015,380
Cascavel,2016,426
Cascavel,2017,400
Cascavel,2018,303
Cascavel,2019,307
Cascavel,2020,309
Cascavel,2021,396
Cascavel,2022,418
Cascavel,2023,393
Catarina,2010,1
Catarina,2011,1
Catarina,2012,6
Catarina,2013,8
Catarina,2014,6
Catarina,2015,12
Catarina,2016,14
Catarina,2017,9
Catarina,2018,5
Catarina,2019,5
Catarina,2020,5
Catarina,2021,11
Catarina,2022,5
Catarina,2023,21
Catunda,2009,1
Catunda,2010,3
Catunda,2011,3
Catunda,2012,5
Catunda,2013,6
Catunda,2014,10
Catunda,2015,14
Catunda,2016,13
Catunda,2017,8
Catunda,2018,12
Catunda,2019,9
Catunda,2020,1
Catunda,2021,1
Catunda,2022,1
Catunda,2023,4
Caucaia,2009,2197
Caucaia,2010,2012
Caucaia,2011,1861
Caucaia,2012,2369
Caucaia,2013,2616
Caucaia,2014,1665
Caucaia,2015,2370
Caucaia,2016,2244
Caucaia,2017,2166
Caucaia,2018,1997
Caucaia,2019,2067
Caucaia,2020,1656
Caucaia,2021,1684
Caucaia,2022,2067
Caucaia,2023,1960
Cedro,2009,19
Cedro,2010,12
Cedro,2011,29
Cedro,2012,26
Cedro,2013,79
Cedro,2014,48
Cedro,2015,71
Cedro,2016,50
Cedro,2017,61
Cedro,2018,47
Cedro,2019,59
Cedro,2020,47
Cedro,2021,35
Cedro,2022,52
Cedro,2023,67
Chaval,2012,11
Chaval,2013,49
Chaval,2014,58
Chaval,2015,93
Chaval,2016,47
Chaval,2017,62
Chaval,2018,41
Chaval,2019,53
Chaval,2020,22
Chaval,2021,35
Chaval,2022,25
Chaval,2023,19
Chorozinho,2009,4
Chorozinho,2010,7
Chorozinho,2011,10
Chorozinho,2012,75
Chorozinho,2013,90
Chorozinho,2014,56
Chorozinho,2015,81
Chorozinho,2016,79
Chorozinho,2017,84
Chorozinho,2018,65
Chorozinho,2019,54
Chorozinho,2020,35
Chorozinho,2021,36
